Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22pF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,96.0628,-180.2384,180,top
C2,22pF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,96.012,-186.6392,0,top
C3,2.2nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,98.3996,-190.7032,90,top
C4,4.7pF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,96.1644,-190.7032,90,top
C5,1.5pF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,106.6292,-190.6524,270,top
C6,1.0pF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,109.6772,-191.5668,0,top
C7,33nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,106.934,-181.3052,90,top
C8,1nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,108.9152,-183.4896,270,top
C9,10nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,111.0996,-183.4896,270,top
C10,10uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,113.2609,-132.2832,0,top
C11,10uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,117.5743,-132.2832,0,top
C12,100nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,115.7224,-152.8064,0,top
C13,100nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,115.9764,-157.5816,0,top
C14,100nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,117.9068,-170.3324,180,top
C15,100nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,112.9792,-170.2816,180,top
C16,0.1uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,112.1664,-160.9344,270,top
C17,0.1uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,119.2784,-160.528,90,top
C18,4.7uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,118.7196,-164.6936,0,top
C19,10uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,122.3264,-123.0376,0,top
C20,10uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,126.8245,-123.0376,0,top
C21,100nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,102.362,-167.132,90,top
